name,url,pages
Transition Music and Sounds,https://www.audioblocks.com/collections/transition-music-sounds,57
The Authentic Collection,https://www.audioblocks.com/collections/authentic-collection,4959
Celebrate the World,https://www.audioblocks.com/collections/ab-celebrate-world-collection,249
The Future of Creativity,https://www.audioblocks.com/collections/future-of-creativity,187
Creator to Creator,https://www.audioblocks.com/collections/creator-to-creator,183
Essential Classical Music,https://www.audioblocks.com/collections/essential-classical-music,80
Hair-Raising ASMR,https://www.audioblocks.com/collections/asmr-sounds,80
Background Piano Music,https://www.audioblocks.com/collections/piano-background-music,70
Hype Music,https://www.audioblocks.com/collections/hype-energetic-music,70
Immersive Sound Design,https://www.audioblocks.com/collections/vr-sound,70
Awesome Music,https://www.audioblocks.com/collections/awesome-music,64
SFX Electric,https://www.audioblocks.com/collections/electric-sound-effects,62
Essentialism,https://www.audioblocks.com/collections/essentialism-music,60
Promo Music,https://www.audioblocks.com/collections/promo-music,58
Sports SFX,https://www.audioblocks.com/collections/sports-sound-effects,53
DIY Channel Revival,https://www.audioblocks.com/collections/background-music,50
Star Wars Sound Effects,https://www.audioblocks.com/collections/star-wars-sound-effects,50
Wedding Beauty,https://www.audioblocks.com/collections/wedding-video-music,50
Music for the Gram,https://www.audioblocks.com/collections/instagram-video-music,49
Get Inspired,https://www.audioblocks.com/collections/inspirational-stock-music,45
Movie Trailer Music,https://www.audioblocks.com/collections/movie-trailer-stock-music,44
YouTube Background Music,https://www.audioblocks.com/collections/youtube-background-music,42
Here Comes the Boom,https://www.audioblocks.com/collections/explosive-sound-effects,41
Kids Beats,https://www.audioblocks.com/collections/kids-pop-music,41
Real People,https://www.audioblocks.com/collections/real-people-music,41
Top YouTube Intro/Outro Picks,https://www.audioblocks.com/collections/youtube-intros-outros,41
Born to Be Wild,https://www.audioblocks.com/collections/animal-sound-effects,40
Country Nights,https://www.audioblocks.com/collections/country-night-music,40
Heroic Theme Music,https://www.audioblocks.com/collections/heroic-theme-music,40
Scary Sound Effects and Music,https://www.audioblocks.com/collections/halloween-music-sounds,40
Under the Sea,https://www.audioblocks.com/collections/underwater-sound-effects,40
Winter Holiday Music,https://www.audioblocks.com/collections/royalty-free-holiday-music,40
Epic Battle Music,https://www.audioblocks.com/collections/epic-battle-music,39
Coffee Shop Tunes,https://www.audioblocks.com/collections/coffeehouse-music,38
Dinner Jazz,https://www.audioblocks.com/collections/dinner-jazz-music,38
Holiday Sound Effects,https://www.audioblocks.com/collections/holiday-sound-effects,38
Murder Mystery Music,https://www.audioblocks.com/collections/murder-mystery-music,37
Road Trip Tunes,https://www.audioblocks.com/collections/road-trip-music,37
Epic Gaming Music,https://www.audioblocks.com/collections/video-game-music,36
Relaxing Guitar Music,https://www.audioblocks.com/collections/relaxing-guitar-music,36
Sounds of Thrones,https://www.audioblocks.com/collections/sounds-of-thrones,36
Awesome Guitar Loops,https://www.audioblocks.com/collections/awesome-guitar-loops,35
Latin Dance Party,https://www.audioblocks.com/collections/latin-dance-music,35
Santa's Workshop Music,https://www.audioblocks.com/collections/santas-workshop-music,35
Weather the Storm,https://www.audioblocks.com/collections/storm-sound-effects,35
Empowering Music,https://www.audioblocks.com/collections/empowering-instrumental-music,34
Lyric Tracks,https://www.audioblocks.com/collections/music-tracks-with-lyrics,34
Motown Songs,https://www.audioblocks.com/collections/motown-music,33
Everyday Sounds,https://www.audioblocks.com/collections/everyday-sounds,32
Winter Music and Sound,https://www.audioblocks.com/collections/winter-music-sounds,32
Accordion Music,https://www.audioblocks.com/collections/accordion-music,30
Blissful Music,https://www.audioblocks.com/collections/blissful-music,30
Instrumental Hip-Hop Music,https://www.audioblocks.com/collections/instrumental-hip-hop-music,30
Wanderlust Inspired,https://www.audioblocks.com/collections/wanderlust-music,30
Epic and Beautiful,https://www.audioblocks.com/collections/epic-beautiful-music,28
Music for Jingles,https://www.audioblocks.com/collections/jingle-music,28
Workout Tracks,https://www.audioblocks.com/collections/exercise-music,28
Zen Music,https://www.audioblocks.com/collections/zen-music,28
Electronic Music,https://www.audioblocks.com/collections/royalty-free-electronic-music,27
Samba Music,https://www.audioblocks.com/collections/samba-music,26
Get Cozy,https://www.audioblocks.com/collections/cozy-music,25
The Background Loop Collection,https://www.audioblocks.com/collections/looping-background-tracks,25
Cinematic Vocal Tracks,https://www.audioblocks.com/collections/epic-vocals,24
Dark Music,https://www.audioblocks.com/collections/dark-music,24
Energizing Music,https://www.audioblocks.com/collections/energizing-music,24
Sport and Action Music,https://www.audioblocks.com/collections/action-music,24
Summer Sounds,https://www.audioblocks.com/collections/summer-sounds,24
Edgy Music,https://www.audioblocks.com/collections/rebellious-edgy-music,20
Most Downloaded Music,https://www.audioblocks.com/collections/best-stock-music,20
Most Downloaded Sound Effects,https://www.audioblocks.com/collections/best-sound-effects,20
"Stock Music That Isn't ""Stock-y""",https://www.audioblocks.com/collections/authentic-non-cheesy-stock-music,20
The Foley SFX Collection,https://www.audioblocks.com/collections/folex-sfx-household-objects,15
